item_id,description,normalized_description,service_name,mapping_method,mapping_confidence,top_score,score_gap
184,OCC STD NEURO ISOL,occupancy standard neurological isolation,Standard Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,11.99
185,CARD SPCM ANLY PREOP,cardiac specimen analysis preoperative,Preoperative Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,20.067
186,SVC FOCUSED VASC TRANSFUSION /SA-5676,service focused vascular transfusion sa 5676,Focused Vascular Transfusion Service,fuzzy_high,0.96,97.25,28.975
187,THER  INTENS PAED INF,ther intensive paediatric infusion,Intensive Paediatric Infusion Therapy,fuzzy_medium,0.89,93.141,18.119
188,SUPV RHEUM CRIT CR OCC,supv rheum critical cr occupancy,Supervised Rheumatologic Critical Care Occupancy,ai_candidate_selection,0.95,83.025,12.951
189,INPT OPHTH RECOV ROOM OCC,inpatient ophthalmic recovery room occupancy,Inpatient Ophthalmic Recovery Room Occupancy,exact,0.995,100.0,100.0
190,FOC  PALL RECOV ROOM OCCUPANCY /SA-9540,focused palliative recovery room occupancy sa 9540,Focused Palliative Recovery Room Occupancy,fuzzy_high,0.96,97.25,30.469
191,MSK DIAG IMG ASST,musculoskeletal diagnostic imaging assisted,Assisted Musculoskeletal Diagnostic Imaging,fuzzy_high,0.96,97.25,8.841
192,ASST BIOP PROC,assisted biopsy procedure,Assisted Gastrointestinal Biopsy Procedure,ai_candidate_selection,0.78,92.025,9.878
193,POSTOPERATIVE OPHTH ANAES ADMIN,postoperative ophthalmic anaes administration,Postoperative Ophthalmic Anaesthesia Administration,fuzzy_medium,0.89,93.75,15.855
194,OCC ADV INFECT ISOL /SA-7328,occupancy advanced infectious isolation sa 7328,Advanced Infectious Isolation Room Occupancy,fuzzy_medium,0.89,91.392,11.46
195,EMER PAED THTR TM /SA-9377,emergency paediatric thtr tm sa 9377,Emergency Paediatric Theatre Time,ai_candidate_selection,0.95,81.159,20.885
196,PREOPERATIVE  OBST SESS /SA-3810,preoperative obst session sa 3810,Preoperative Obstetric Physiotherapy Session,ai_candidate_selection,0.88,73.396,2.371
197,ADV DERM SPCM ANALYSIS /SA-4468,advanced dermatologic specimen analysis sa 4468,Advanced Dermatologic Specimen Analysis,fuzzy_high,0.96,97.25,12.685
198,ORTHOPAEDIC ISOL RM OCC,orthopaedic isolation room occupancy,,ai_unresolved,0.52,97.25,0.0
199,OUTPT HAEM BIOPSY PROC,outpatient haematology biopsy procedure,Outpatient Haematology Biopsy Procedure,exact,0.995,100.0,100.0
200,OPHTH LAB PNL,ophthalmic laboratory panel,,ai_unresolved,0.52,97.25,0.0
201,RTN  INFECT ISOL RM OCC /SA-1394,routine infectious isolation room occupancy sa 1394,Routine Infectious Isolation Room Occupancy,fuzzy_high,0.96,97.25,11.079
202,FRACT BEDS RADIOTHER /SA-5851,fract beds radiotherapy sa 5851,Bedside Ophthalmic Radiotherapy Fraction,ai_candidate_selection,0.76,68.486,7.205
203,AMB HAEM NUTR SUPP,ambulatory haematology nutritional support,Ambulatory Haematology Nutritional Support,exact,0.995,100.0,100.0
204,PROC OUTPT HAEM BIOP,procedure outpatient haematology biopsy,Outpatient Haematology Biopsy Procedure,fuzzy_high,0.96,97.25,14.962
205,OCC STD ORTHO ISOL RM,occupancy standard orthopaedic isolation room,Standard Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.806
206,POSTOP OPHTH ANAESTHESIA /SA-4633,postoperative ophthalmic anaesthesia sa 4633,Postoperative Ophthalmic Anaesthesia Administration,ai_candidate_selection,0.95,87.525,21.248
207,SUPV RHEUMATOLOGIC CRIT CR OCC,supv rheumatologic critical cr occupancy,Supervised Rheumatologic Critical Care Occupancy,fuzzy_medium,0.89,90.909,18.857
208,OCC POSTOP ORTHO ISOL ROOM,occupancy postoperative orthopaedic isolation room,Postoperative Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.806
209,CONF ADV ENDO CASE,conference advanced endocrine case,Advanced Endocrine Case Conference,fuzzy_high,0.96,97.25,37.709
210,ANLY PREOP CARD SPCM,analysis preoperative cardiac specimen,Preoperative Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,20.067
211,ADV DERM SPCM ANLY /SA-9302,advanced dermatologic specimen analysis sa 9302,Advanced Dermatologic Specimen Analysis,fuzzy_high,0.96,97.25,12.685
212,ANALYSIS CARD SPCM,analysis cardiac specimen,,ai_unresolved,0.52,92.025,0.0
213,OPHTH LAB PNL RTN,ophthalmic laboratory panel routine,Routine Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,11.114
214,INTERPRETATION  ROUTINE NEURO,interpretation routine neurological,Routine Neurological Imaging Interpretation,fuzzy_high,0.96,97.25,12.548
215,POSTOP PULM INF THER /SA-9058,postoperative pulmonary infusion ther sa 9058,Postoperative Pulmonary Infusion Therapy,fuzzy_medium,0.89,89.176,31.412
216,DERM SPCM ANLY EXT,dermatologic specimen analysis extended,Extended Dermatologic Specimen Analysis,fuzzy_high,0.96,97.25,12.468
217,PSYCH TRANSF SVC,psychiatric transfusion service,Standard Psychiatric Transfusion Service,fuzzy_high,0.96,97.25,23.34
218,ADV RHEUM RM OCC,advanced rheum room occupancy,Advanced Rheumatologic Isolation Room Occupancy,ai_candidate_selection,0.95,86.833,0.0
219,PAED THTR TM EMER,paediatric thtr tm emergency,Emergency Paediatric Theatre Time,fuzzy_medium,0.89,89.279,18.569
220,POSTOP NEURO PROG /SA-1044,postoperative neurological programme sa 1044,Postoperative Neurological Rehabilitation Programme,ai_candidate_selection,0.95,87.525,22.692
221,AMB VASC INF THER,ambulatory vascular infusion ther,Ambulatory Vascular Infusion Therapy,fuzzy_high,0.96,95.652,36.611
222,INTERP  SUPERVISED IMG /SA-6042,interp supervised imaging sa 6042,Supervised Neurological Imaging Interpretation,ai_candidate_selection,0.77,68.647,0.0
223,INTENS PALLIATIVE WD BD OCC,intensive palliative wd bd occupancy,Intensive Palliative Ward Bed Occupancy,fuzzy_high,0.96,96.0,26.536
224,INTENSIVE INFECT PHYSIO SESS /SA-6814,intensive infectious physiotherapy session sa 6814,Intensive Infectious Physiotherapy Session,fuzzy_high,0.96,97.25,28.671
225,DISP BEDS PULMONARY PHARM,dispensing beds pulmonary pharm,Bedside Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,81.48,5.205
226,SERVICE FOC VASC TRANSFUSION /SA-8463,service focused vascular transfusion sa 8463,Focused Vascular Transfusion Service,fuzzy_high,0.96,97.25,28.975
227,POSTOP INF THER,postoperative infusion ther,Postoperative Pulmonary Infusion Therapy,ai_candidate_selection,0.88,87.327,11.052
228,COMPR HAEM TRANSP SERVICE /SA-1740,comprehensive haematology transport service sa 1740,Comprehensive Haematology Transport Service,fuzzy_high,0.96,97.25,14.301
229,BEDS PULMONARY PHARM DISP,beds pulmonary pharm dispensing,Bedside Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,83.784,5.382
230,CONT REN VENT SUPPORT,continuous renal ventilation support,Continuous Renal Ventilation Support,exact,0.995,100.0,100.0
231,FOC  PULM PHARM DISP /SA-2738,focused pulmonary pharm dispensing sa 2738,Focused Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,81.059,11.765
232,PROG INTERM OTOLARYNGOLOGIC REHAB,programme intermittent otolaryngologic rehabilitation,Intermittent Otolaryngologic Rehabilitation Programme,fuzzy_high,0.96,97.25,8.498
233,EXT ORTHOPAEDIC RADIOTHER FRACT /SA-4235,extended orthopaedic radiotherapy fract sa 4235,Extended Orthopaedic Radiotherapy Fraction,ai_candidate_selection,0.95,87.802,20.377
234,ORTHO ISOL RM OCC STD,orthopaedic isolation room occupancy standard,Standard Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,10.806
235,OCC  INPT PAED ISOL RM /SA-6138,occupancy inpatient paediatric isolation room sa 6138,Inpatient Paediatric Isolation Room Occupancy,fuzzy_high,0.96,97.25,27.578
236,SUPV HAEM BIOP PROC /SA-9038,supv haematology biopsy procedure sa 9038,Supervised Haematology Biopsy Procedure,ai_candidate_selection,0.95,82.987,1.703
237,MSK  DIAG IMG,musculoskeletal diagnostic imaging,,ai_unresolved,0.52,97.25,0.0
238,POSTOP  CARD PHYSIO,postoperative cardiac physiotherapy,Postoperative Cardiac Physiotherapy Session,fuzzy_high,0.96,97.25,26.364
239,OPHTH ANAES ADMIN INTERM,ophthalmic anaes administration intermittent,Intermittent Ophthalmic Anaesthesia Administration,fuzzy_medium,0.89,91.043,15.29
240,STD ORTHO ISOL ROOM OCCUPANCY /SA-3231,standard orthopaedic isolation room occupancy sa 3231,Standard Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,15.831
241,FRACTION BEDS OPHTH RADIOTHER /SA-7880,fraction beds ophthalmic radiotherapy sa 7880,Bedside Ophthalmic Radiotherapy Fraction,ai_candidate_selection,0.95,86.444,17.14
242,OPHTH LAB PNL FOC,ophthalmic laboratory panel focused,Focused Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,11.114
243,INTERM  PSYCH LAB PANEL /SA-3427,intermittent psychiatric laboratory panel sa 3427,Intermittent Psychiatric Laboratory Panel,fuzzy_high,0.96,97.25,34.967
244,STD PSYCHIATRIC TRANSF SVC,standard psychiatric transfusion service,Standard Psychiatric Transfusion Service,exact,0.995,100.0,100.0
245,HAEM BIOP PROC SUPV,haematology biopsy procedure supv,Supervised Haematology Biopsy Procedure,ai_candidate_selection,0.95,89.279,0.0
246,AMB VASC INF THER /SA-1352,ambulatory vascular infusion ther sa 1352,Ambulatory Vascular Infusion Therapy,ai_candidate_selection,0.95,87.946,30.804
247,NEUROLOGICAL REHAB PROG /SA-9661,neurological rehabilitation programme sa 9661,,ai_unresolved,0.52,87.762,0.0
248,CARDIAC  TRANSP SERVICE,cardiac transport service,Elective Cardiac Transport Service,fuzzy_high,0.96,97.25,13.796
249,INTERMITTENT OPHTH ANAESTHESIA ADMIN,intermittent ophthalmic anaesthesia administration,Intermittent Ophthalmic Anaesthesia Administration,exact,0.995,100.0,100.0
250,ANLY ADV DERM SPCM /SA-1886,analysis advanced dermatologic specimen sa 1886,Advanced Dermatologic Specimen Analysis,fuzzy_high,0.96,97.25,12.685
251,POSTOP ORTHO ISOLATION RM OCC,postoperative orthopaedic isolation room occupancy,Postoperative Orthopaedic Isolation Room Occupancy,exact,0.995,100.0,100.0
252,SVC STD PSYCH TRANSF /SA-3868,service standard psychiatric transfusion sa 3868,Standard Psychiatric Transfusion Service,fuzzy_high,0.96,97.25,30.059
253,SUPV HAEM BIOP PROC /SA-6547,supv haematology biopsy procedure sa 6547,Supervised Haematology Biopsy Procedure,ai_candidate_selection,0.95,82.987,1.703
254,DIAG SUPERVISED MSK,diagnostic supervised musculoskeletal,Supervised Musculoskeletal Diagnostic Imaging,fuzzy_high,0.96,97.25,16.98
255,SUPP PREOP ORTHO VENT,support preoperative orthopaedic ventilation,Preoperative Orthopaedic Ventilation Support,fuzzy_high,0.96,97.25,30.059
256,STD RECOV RM OCC,standard recovery room occupancy,Standard Musculoskeletal Recovery Room Occupancy,ai_candidate_selection,0.82,92.025,7.364
257,PROCEDURE ASST GI BIOP,procedure assisted gastrointestinal biopsy,Assisted Gastrointestinal Biopsy Procedure,fuzzy_high,0.96,97.25,22.882
258,SVC COMPR HAEM TRANSP /SA-1408,service comprehensive haematology transport sa 1408,Comprehensive Haematology Transport Service,fuzzy_high,0.96,97.25,14.301
259,BEDS OPHTH RADIOTHER FRACT /SA-1831,beds ophthalmic radiotherapy fract sa 1831,Bedside Ophthalmic Radiotherapy Fraction,ai_candidate_selection,0.95,82.927,16.26
260,EMER THTR TM /SA-2118,emergency thtr tm sa 2118,Emergency Paediatric Theatre Time,ai_candidate_selection,0.72,70.849,0.0
261,FOC  PULM PHARM DISP,focused pulmonary pharm dispensing,Focused Pulmonary Pharmaceutical Dispensing,fuzzy_medium,0.89,89.217,13.892
262,CONF  COMPR ENT CS,conference comprehensive otolaryngologic case conference,Comprehensive Otolaryngologic Case Conference,fuzzy_high,0.96,97.25,22.674
263,OPHTH - ANAESTHESIA ADMIN /SA-3643,ophthalmic anaesthesia administration sa 3643,,ai_unresolved,0.52,87.762,0.0
264,HAEM BIOP PROC OUTPT,haematology biopsy procedure outpatient,Outpatient Haematology Biopsy Procedure,fuzzy_high,0.96,97.25,14.962
265,DISP FOC PHARM,dispensing focused pharm,Focused Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.86,85.596,12.101
266,ADVANCED INFECT RM OCC,advanced infectious room occupancy,Advanced Infectious Isolation Room Occupancy,fuzzy_high,0.96,97.25,14.835
267,COMPR ENT CASE CONF,comprehensive otolaryngologic case conference,Comprehensive Otolaryngologic Case Conference,exact,0.995,100.0,100.0
268,ORTHO RECOV RM OCC INPT,orthopaedic recovery room occupancy inpatient,Inpatient Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,7.32
269,SUPP EMER PULM VENTILATION /SA-8204,support emergency pulmonary ventilation sa 8204,Emergency Pulmonary Ventilation Support,fuzzy_high,0.96,97.25,30.059
270,SVC POSTOP VASC TRANSP /SA-7367,service postoperative vascular transport sa 7367,Postoperative Vascular Transport Service,fuzzy_high,0.96,97.25,28.909
271,PREOP ORTHO VENTILATION SUPP /SA-6583,preoperative orthopaedic ventilation support sa 6583,Preoperative Orthopaedic Ventilation Support,fuzzy_high,0.96,97.25,25.872
272,INPATIENT OPHTH RECOV RM,inpatient ophthalmic recovery room,Inpatient Ophthalmic Recovery Room Occupancy,fuzzy_high,0.96,97.25,18.768
273,RTN INFECT ISOL RM OCC /SA-6375,routine infectious isolation room occupancy sa 6375,Routine Infectious Isolation Room Occupancy,fuzzy_high,0.96,97.25,11.079
274,INTENS NEURO REHAB PROG,intensive neurological rehabilitation programme,Intensive Neurological Rehabilitation Programme,exact,0.995,100.0,100.0
275,PREOP VASC INTERP /SA-3692,preoperative vascular interp sa 3692,Preoperative Vascular Imaging Interpretation,ai_candidate_selection,0.95,73.625,11.388
276,INTERP  RTN NEURO IMG,interp routine neurological imaging,Routine Neurological Imaging Interpretation,ai_candidate_selection,0.95,87.276,10.436
277,OCC  ADV RHEUM ISOL,occupancy advanced rheum isolation,Advanced Rheumatologic Isolation Room Occupancy,ai_candidate_selection,0.95,87.839,0.0
278,PHYSIOTHERAPY  BEDS OBST,physiotherapy beds obst,Bedside Obstetric Physiotherapy Session,ai_candidate_selection,0.95,80.412,0.887
279,SPCLST STERILISATION SVC,spclst sterilisation service,Specialist Psychiatric Sterilisation Service,ai_candidate_selection,0.76,85.596,18.29
280,TM  POSTOP PAED THTR,tm postoperative paediatric thtr,Postoperative Paediatric Theatre Time,fuzzy_medium,0.89,90.203,14.985
281,IMG ASST DIAG,imaging assisted diagnostic,Assisted Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.9,92.025,9.0
282,SESS RTN GER PHYSIO /SA-7008,session routine geriatric physiotherapy sa 7008,Routine Geriatric Physiotherapy Session,fuzzy_high,0.96,97.25,26.717
283,POSTOP  OPHTH ANAES ADMINISTRATION /SA-5379,postoperative ophthalmic anaes administration sa 5379,Postoperative Ophthalmic Anaesthesia Administration,ai_candidate_selection,0.95,88.269,15.676
284,BEDS PULM DISP /SA-7949,beds pulmonary dispensing sa 7949,Bedside Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.89,73.396,0.0
285,SUPP  AMB HAEM NUTR /SA-4369,support ambulatory haematology nutritional sa 4369,Ambulatory Haematology Nutritional Support,fuzzy_high,0.96,97.25,37.245
286,POSTOP PULM INFUSION THER,postoperative pulmonary infusion ther,Postoperative Pulmonary Infusion Therapy,fuzzy_high,0.96,96.104,33.506
287,ENDO  CS CONF,endocrine case conference conference,Advanced Endocrine Case Conference,fuzzy_high,0.96,97.25,24.312
288,FOC  OPHTH LAB PNL /SA-9997,focused ophthalmic laboratory panel sa 9997,Focused Ophthalmic Laboratory Panel,fuzzy_high,0.96,97.25,12.548
289,EXT  VASC HOME,extended vascular home,Extended Vascular Home Visit,fuzzy_high,0.96,97.25,26.225
290,FOC - CARD DIAL SESS,focused cardiac dialysis session,Focused Cardiac Dialysis Session,exact,0.995,100.0,100.0
291,INTENS INFECT PHYSIO SESS,intensive infectious physiotherapy session,Intensive Infectious Physiotherapy Session,exact,0.995,100.0,100.0
292,INTERMITTENT PSYCH LAB PNL /SA-4633,intermittent psychiatric laboratory panel sa 4633,Intermittent Psychiatric Laboratory Panel,fuzzy_high,0.96,97.25,34.967
293,BEDSIDE OPHTH RADIOTHER FRACT /SA-4563,bedside ophthalmic radiotherapy fract sa 4563,Bedside Ophthalmic Radiotherapy Fraction,ai_candidate_selection,0.95,87.178,20.511
294,SUPERVISED HAEM BIOP PROCEDURE,supervised haematology biopsy procedure,Supervised Haematology Biopsy Procedure,exact,0.995,100.0,100.0
295,POSTOP  VASC TRANSP SVC,postoperative vascular transport service,Postoperative Vascular Transport Service,exact,0.995,100.0,100.0
296,STD  MSK RECOV RM OCC,standard musculoskeletal recovery room occupancy,Standard Musculoskeletal Recovery Room Occupancy,exact,0.995,100.0,100.0
297,ASST INFECT MONIT /SA-6965,assisted infectious monitoring sa 6965,Assisted Infectious Telemetry Monitoring,ai_candidate_selection,0.95,85.809,34.589
298,FRACT  BEDS OPHTH RADIOTHER /SA-8930,fract beds ophthalmic radiotherapy sa 8930,Bedside Ophthalmic Radiotherapy Fraction,ai_candidate_selection,0.95,80.646,15.813
299,OTOLARYNGOLOGIC  DISCH PLNG /SA-6235,otolaryngologic disch planning sa 6235,Continuous Otolaryngologic Discharge Planning,ai_candidate_selection,0.88,75.29,20.243
300,POSTOP VASC TRANSP SERVICE,postoperative vascular transport service,Postoperative Vascular Transport Service,exact,0.995,100.0,100.0
301,INTENS  PALL WD BD /SA-1182,intensive palliative wd bd sa 1182,Intensive Palliative Ward Bed Occupancy,ai_candidate_selection,0.95,76.712,23.191
302,INTERM ORTHO RECOV RM OCC,intermittent orthopaedic recovery room occupancy,Intermittent Orthopaedic Recovery Room Occupancy,exact,0.995,100.0,100.0
303,EXTENDED ENT NUTR,extended otolaryngologic nutritional,Extended Otolaryngologic Nutritional Support,fuzzy_high,0.96,97.25,33.18
304,DISP FOC PULM PHARM /SA-1272,dispensing focused pulmonary pharm sa 1272,Focused Pulmonary Pharmaceutical Dispensing,ai_candidate_selection,0.95,80.088,11.441
305,INTERM OPHTH ANAES ADMIN,intermittent ophthalmic anaes administration,Intermittent Ophthalmic Anaesthesia Administration,fuzzy_medium,0.89,93.617,15.722
306,CONT ENT DISCH PLNG,continuous otolaryngologic disch planning,Continuous Otolaryngologic Discharge Planning,fuzzy_high,0.96,95.349,36.008
307,EXT ORTHO RADIOTHERAPY FRACT,extended orthopaedic radiotherapy fract,Extended Orthopaedic Radiotherapy Fraction,fuzzy_high,0.96,96.296,22.879
308,EXTENDED VASC VST /SA-2084,extended vascular visit sa 2084,Extended Vascular Home Visit,ai_candidate_selection,0.95,87.716,38.365
309,ASST - INFECT TELEM MONIT,assisted infectious telem monitoring,Assisted Infectious Telemetry Monitoring,fuzzy_medium,0.89,94.737,33.137
310,AMB NUTRITIONAL SUPP /SA-7761,ambulatory nutritional support sa 7761,Ambulatory Haematology Nutritional Support,ai_candidate_selection,0.74,85.809,20.975
311,SESS PREOP PHYSIO,session preoperative physiotherapy,Preoperative Obstetric Physiotherapy Session,fuzzy_high,0.96,97.25,16.419
312,ENT REHAB PROG INTENS,otolaryngologic rehabilitation programme intensive,Intensive Otolaryngologic Rehabilitation Programme,fuzzy_high,0.96,97.25,8.498
313,ADMIN OPHTH ANAES /SA-6486,administration ophthalmic anaes sa 6486,,ai_unresolved,0.52,75.977,0.0
314,ENT REHAB PROG,otolaryngologic rehabilitation programme,,ai_unresolved,0.52,97.25,0.0
315,PULM PHARM DISP /SA-2727,pulmonary pharm dispensing sa 2727,,ai_unresolved,0.52,72.037,0.0
316,SUPP - CONT REN VENT,support continuous renal ventilation,Continuous Renal Ventilation Support,fuzzy_high,0.96,97.25,30.059
317,EMER PULM VENT SUPP /SA-6819,emergency pulmonary ventilation support sa 6819,Emergency Pulmonary Ventilation Support,fuzzy_high,0.96,97.25,30.059
318,INTENS - NEURO REHABILITATION PROG /SA-8220,intensive neurological rehabilitation programme sa 8220,Intensive Neurological Rehabilitation Programme,fuzzy_high,0.96,97.25,14.786
319,OCC STD RECOV RM,occupancy standard recovery room,Standard Musculoskeletal Recovery Room Occupancy,ai_candidate_selection,0.88,92.025,7.364
320,POSTOP  PULMONARY INF THER,postoperative pulmonary infusion ther,Postoperative Pulmonary Infusion Therapy,fuzzy_high,0.96,96.104,33.506
321,OCC INPT PAED ISOL RM /SA-7229,occupancy inpatient paediatric isolation room sa 7229,Inpatient Paediatric Isolation Room Occupancy,fuzzy_high,0.96,97.25,27.578
322,EMER REN INF THER /SA-8878,emergency renal infusion ther sa 8878,Emergency Renal Infusion Therapy,ai_candidate_selection,0.95,86.398,31.329
323,INFECT ISOL RM OCC RTN,infectious isolation room occupancy routine,Routine Infectious Isolation Room Occupancy,fuzzy_high,0.96,97.25,9.974
324,AMBULATORY VASC INF THERAPY,ambulatory vascular infusion therapy,Ambulatory Vascular Infusion Therapy,exact,0.995,100.0,100.0
325,PREOP  VASC INTERP,preoperative vascular interp,Preoperative Vascular Imaging Interpretation,ai_candidate_selection,0.95,85.596,11.571
326,SUPPORT CONTINUOUS REN VENT,support continuous renal ventilation,Continuous Renal Ventilation Support,fuzzy_high,0.96,97.25,30.059
327,NEURO REHAB PROG POSTOP,neurological rehabilitation programme postoperative,Postoperative Neurological Rehabilitation Programme,fuzzy_high,0.96,97.25,11.577
328,IMG - SUPV MSK DIAG /SA-2439,imaging supv musculoskeletal diagnostic sa 2439,Supervised Musculoskeletal Diagnostic Imaging,ai_candidate_selection,0.95,85.883,2.174
329,INPT OPHTH RECOV OCCUPANCY /SA-8706,inpatient ophthalmic recovery occupancy sa 8706,Inpatient Ophthalmic Recovery Room Occupancy,fuzzy_medium,0.89,91.392,14.326
330,PAED THTR TM POSTOP,paediatric thtr tm postoperative,Postoperative Paediatric Theatre Time,fuzzy_medium,0.89,90.203,14.985
331,HAEM BIOP PROC /SA-6522,haematology biopsy procedure sa 6522,,ai_unresolved,0.52,85.094,0.0
332,ANLY PREOPERATIVE CARD SPECIMEN,analysis preoperative cardiac specimen,Preoperative Cardiac Specimen Analysis,fuzzy_high,0.96,97.25,20.067
333,INTERM ORTHO RECOV OCC,intermittent orthopaedic recovery occupancy,Intermittent Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,10.886
334,SUPV METAB LABORATORY PNL /SA-3629,supv metabolic laboratory panel sa 3629,Supervised Metabolic Laboratory Panel,ai_candidate_selection,0.95,82.011,17.146
335,FOC  VASC TRANSF SVC,focused vascular transfusion service,Focused Vascular Transfusion Service,exact,0.995,100.0,100.0
336,ENT CS CONF /SA-6459,otolaryngologic case conference conference sa 6459,Comprehensive Otolaryngologic Case Conference,ai_candidate_selection,0.95,86.136,26.595
337,PROC  - SUPV HEP,procedure supv hepatic,Supervised Hepatic Endoscopic Procedure,ai_candidate_selection,0.87,86.256,11.198
338,VST VASCULAR HM /SA-8814,visit vascular home sa 8814,Extended Vascular Home Visit,ai_candidate_selection,0.74,80.337,12.741
339,OUTPT HAEMATOLOGY BIOP PROC /SA-7396,outpatient haematology biopsy procedure sa 7396,Outpatient Haematology Biopsy Procedure,fuzzy_high,0.96,97.25,15.966
340,STD - ORTHO ISOL RM OCC /SA-1562,standard orthopaedic isolation room occupancy sa 1562,Standard Orthopaedic Isolation Room Occupancy,fuzzy_high,0.96,97.25,15.831
341,SVC STD PSYCH TRANSF /SA-9672,service standard psychiatric transfusion sa 9672,Standard Psychiatric Transfusion Service,fuzzy_high,0.96,97.25,30.059
342,ELECT - CARD NURSING OBS,elective cardiac nursing obs,Elective Cardiac Nursing Observation,fuzzy_medium,0.89,89.769,19.042
343,CS  ADV ENDO /SA-1786,case conference advanced endocrine sa 1786,Advanced Endocrine Case Conference,fuzzy_high,0.96,97.25,43.595
344,CONT - OTOLARYNGOLOGIC DISCH PLNG,continuous otolaryngologic disch planning,Continuous Otolaryngologic Discharge Planning,fuzzy_high,0.96,95.349,36.008
345,ENT CS CONF /SA-5963,otolaryngologic case conference conference sa 5963,Comprehensive Otolaryngologic Case Conference,ai_candidate_selection,0.95,86.136,26.595
346,SUPV - NEURO IMG,supv neurological imaging,Supervised Neurological Imaging Interpretation,ai_candidate_selection,0.95,87.025,0.0
347,OCC PREOP ISOL RM,occupancy preoperative isolation room,Preoperative Neurological Isolation Room Occupancy,fuzzy_high,0.96,97.25,16.767
348,ENT REHAB PROG INTERM,otolaryngologic rehabilitation programme intermittent,Intermittent Otolaryngologic Rehabilitation Programme,fuzzy_high,0.96,97.25,8.498
349,OPHTH ANAES ADMIN POSTOP,ophthalmic anaes administration postoperative,Postoperative Ophthalmic Anaesthesia Administration,fuzzy_medium,0.89,91.172,15.419
350,PULM INF THER /SA-9868,pulmonary infusion ther sa 9868,Postoperative Pulmonary Infusion Therapy,ai_candidate_selection,0.83,71.449,12.79
351,ASST - INFECT TELEM,assisted infectious telem,Assisted Infectious Telemetry Monitoring,ai_candidate_selection,0.95,88.364,15.624
352,THER  STD PAED INF,ther standard paediatric infusion,Standard Paediatric Infusion Therapy,fuzzy_medium,0.89,93.022,18.0
353,SESS INTENS INFECT PHYSIO /SA-4043,session intensive infectious physiotherapy sa 4043,Intensive Infectious Physiotherapy Session,fuzzy_high,0.96,97.25,29.175
354,LAB SUPV METAB,laboratory supv metabolic,Supervised Metabolic Laboratory Panel,ai_candidate_selection,0.95,86.444,13.705
355,PREOP CARD SPCM ANLY,preoperative cardiac specimen analysis,Preoperative Cardiac Specimen Analysis,exact,0.995,100.0,100.0
356,INTENS  ENT REHAB PROG,intensive otolaryngologic rehabilitation programme,Intensive Otolaryngologic Rehabilitation Programme,exact,0.995,100.0,100.0
357,INTENS INFECTIOUS PHYSIO SESS /SA-3027,intensive infectious physiotherapy session sa 3027,Intensive Infectious Physiotherapy Session,fuzzy_high,0.96,97.25,28.671
358,ANLY ADV DERM SPCM /SA-3043,analysis advanced dermatologic specimen sa 3043,Advanced Dermatologic Specimen Analysis,fuzzy_high,0.96,97.25,12.685
359,INTERM - MSK DIAL SESSION /SA-9704,intermittent musculoskeletal dialysis session sa 9704,,ai_unresolved,0.52,77.025,16.923
360,OCC INTENS PALL WD BD,occupancy intensive palliative wd bd,Intensive Palliative Ward Bed Occupancy,fuzzy_medium,0.89,93.36,23.896
361,SUPV HAEM BIOP PROC,supv haematology biopsy procedure,Supervised Haematology Biopsy Procedure,ai_candidate_selection,0.95,91.728,2.449
362,POSTOP PAED THTR TM,postoperative paediatric thtr tm,Postoperative Paediatric Theatre Time,fuzzy_medium,0.89,92.754,17.536
363,OCC INTERM ORTHOPAEDIC RECOV RM /SA-4391,occupancy intermittent orthopaedic recovery room sa 4391,Intermittent Orthopaedic Recovery Room Occupancy,fuzzy_high,0.96,97.25,12.156
364,CONT  REN SUPP,continuous renal support,Continuous Renal Ventilation Support,fuzzy_medium,0.89,92.025,18.529
365,INTERM - OPHTH ANAES ADMIN /SA-3116,intermittent ophthalmic anaes administration sa 3116,Intermittent Ophthalmic Anaesthesia Administration,ai_candidate_selection,0.95,88.039,16.195
366,INTENS  ENT REHABILITATION PROG /SA-2959,intensive otolaryngologic rehabilitation programme sa 2959,Intensive Otolaryngologic Rehabilitation Programme,fuzzy_high,0.96,97.25,11.964
367,FOC CARDIAC DIAL SESS /SA-9422,focused cardiac dialysis session sa 9422,Focused Cardiac Dialysis Session,fuzzy_high,0.96,97.25,39.897
